In the science fiction books I read as a kid,|Nei libri di fantascienza che leggevo da bambino,
reading had often been replaced by some more efficient way of acquiring knowledge.|la lettura era stata spesso sostituita da un modo più efficiente di acquisire conoscenza.
Mysterious "tapes" would load it into one's brain like a program being loaded into a computer.|"bobine" misteriose caricherebbero conoscenza nel cervello come avviene con un programma per computer.
That sort of thing is unlikely to happen anytime soon.|È improbabile che qualcosa di simile accada presto.
Not just because it would be hard to build a replacement for reading,|Non solo perché sarebbe difficile costruire un sostituto per la lettura,
but because even if one existed, it would be insufficient.|ma anche perché se ne esistesse uno, sarebbe insufficiente.
Reading about x doesn't just teach you about x; it also teaches you how to write. [1]|Leggere di X non solo ti insegna di X; ti insegna anche a scrivere. [1]
Would that matter? If we replaced reading, would anyone need to be good at writing?|E’ importante? Se sostituissimo la lettura, perché si dovrebbe comunque essere bravi a scrivere?
The reason it would matter is that writing is not just a way to convey ideas, but also a way to have them.|Il motivo per cui sarebbe importante è che la scrittura non è solo un modo per trasmettere idee, ma anche un modo per averle.
A good writer doesn't just think, and then write down what he thought, as a sort of transcript.|Un buon scrittore non si limita a pensare, e poi, come una sorta di trascrizione, scrivere quello che ha pensato.
A good writer will almost always discover new things in the process of writing.|Un buono scrittore quasi sempre scoprirà delle cose nuove nel processo di scrittura.
And there is, as far as I know, no substitute for this kind of discovery.|E per quanto ne sappia io, non c’è nessun sostituto a questo modo di scoprire.
Talking about your ideas with other people is a good way to develop them.|Parlare delle tue idee con altre persone è un buon modo per svilupparle.
But even after doing this, you'll find you still discover new things when you sit down to write.|Ma anche dopo averlo fatto, scoprirai ancora nuove cose quando ti siederai a scrivere.
There is a kind of thinking that can only be done by writing.|C’è un modo di ragionare che avviene solo scrivendo.
There are of course kinds of thinking that can be done without writing.|Ci sono naturalmente generi di ragionamento che possono essere fatti senza scrittura.
If you don't need to go too deeply into a problem, you can solve it without writing.|Se non hai bisogno di approfondire troppo un problema, puoi risolverlo senza scrivere.
If you're thinking about how two pieces of machinery should fit together, writing about it probably won't help much.|Se stai pensando a come due pezzi di un macchinario dovrebbero stare insieme, scriverne probabilmente non aiuterà molto.
And when a problem can be described formally, you can sometimes solve it in your head.|E quando un problema può essere descritto formalmente, a volte puoi risolverlo nella tua testa.
But if you need to solve a complicated, ill-defined problem, it will almost always help to write about it.|Ma se avete bisogno di risolvere un problema complicato, mal definito, quasi sempre vi aiuterà scriverne.
Which in turn means that someone who's not good at writing will almost always be at a disadvantage in solving such problems.|Il che a sua volta significa che qualcuno che non è bravo a scrivere sarà quasi sempre svantaggiato nel risolvere tali problemi.
You can't think well without writing well, and you can't write well without reading well.|Non si può pensare bene senza scrivere bene, e non si può scrivere bene senza leggere bene.
And I mean that last "well" in both senses. You have to be good at reading, and read good things. [2]|E intendo l’ultimo "bene" in entrambi i sensi. Devi essere bravi a leggere, e leggere cose buone. [2]
People who just want information may find other ways to get it.|Le persone che vogliono solo informazioni, possono trovare altri modi per ottenerle.
But people who want to have ideas can't afford to.|Ma le persone che vogliono avere idee non possono permetterselo.
Notes [1] Audiobooks can give you examples of good writing,|Note [1] Gli audiolibri possono darti esempi di buona scrittura,
but having them read to you doesn't teach you as much about writing as reading them yourself.|ma averli ascoltati non ti insegna tanto a scrivere quanto a leggerli tu stesso.
[2] By "good at reading" I don't mean good at the mechanics of reading.|[2] Con "bravi a leggere" non intendo bravi nella meccanica della lettura.
You don't have to be good at extracting words from the page so much as extracting meaning from the words.|Non c’è bisogno di essere bravi a estrarre parole dalla pagina, tanto quanto a estrarre significato dalle parole.
