Title:
What You Can't Say (incomplete) | Was man nicht aus­spre­chen kann
Author:
Paul Graham | Thor­sten Sie­ben­born
Date: 
January 2004 | Ja­nu­ar 2004

Source:
http://www.paulgraham.com/say.html | http://www.magplot.de/html/essays/WhatYouCantSay.html

Text:
Have you ever seen an old photo of yourself and been embarrassed at the way you looked? | Haben Sie schon einmal alte Bilder von sich selbst angesehen und es war Ihnen peinlich, wie man ausgesehen hat ?
Did we actually dress like that? | Haben wir uns damals wirklich so angezogen ?
We did. And we had no idea how silly we looked. | Ja, haben wir. Und wir hatten keine Ahnung, wie lächerlich wir aussahen.
It's the nature of fashion to be invisible, in the same way the movement of the earth is invisible to all of us riding on it. | Es ist die Natur der Mode, nicht erkennbar zu sein; genauso wie die Bewegung der Erde nicht erkennbar ist, auf der wir alle wandeln.
What scares me is that there are moral fashions too. | Was mich erschreckt, ist, dass es auch einen moralischen Zeitgeist gibt.
They're just as arbitrary, and just as invisible to most people. | Dieser ist genauso willkürlich und für die meisten Leute genauso unsichtbar,
But they're much more dangerous. | jedoch wesentlich gefährlicher.
Fashion is mistaken for good design; moral fashion is mistaken for good. | Mode wird fälschlicherweise für gutes Design gehalten, der moralische Zeitgeist gilt irrigerweise als anständiges Verhalten.
Dressing oddly gets you laughed at. | Sich seltsam zu kleiden löst Gelächter aus.
Violating moral fashions can get you fired, ostracized, imprisoned, or even killed. | Moralische Anschauungen zu verletzen birgt jedoch die Gefahr in sich, den Arbeitsplatz zu verlieren, verachtet, eingesperrt oder sogar ermordet zu werden.
If you could travel back in a time machine, one thing would be true no matter where you went: you'd have to watch what you said. | Wenn man mit einer Zeitmaschine zurück in die Zeit reisen könnte, wäre man zumindest einer Sache gewiss: Egal, wo man hinreisen würde, man müsste aufpassen, was man von sich gibt.
Opinions we consider harmless could have gotten you in big trouble. | Meinungen, die wir heute als harmlos empfinden, hätten uns in große Schwierigkeiten gebracht.
I've already said at least one thing that would have gotten me in big trouble in most of Europe in the seventeenth century, and did get Galileo in big trouble when he said it — that the earth moves. | Ich habe bereits eine Sache erwähnt, die mir während des siebzehnten Jahrhunderts in fast ganz Europa großen Ärger bereitet hätte, und die Galileo in große Schwierigkeiten brachte, als er sie aussprach – dass die Erde sich bewegt
It seems to be a constant throughout history: In every period, people believed things that were just ridiculous, and believed them so strongly that you would have gotten in terrible trouble for saying otherwise. | Es scheint eine unveränderliche Tatsache der Geschichte zu sein: In jeder Epoche haben Leute Dinge geglaubt, die einfach nur lächerlich waren und die so fest geglaubt wurden, dass man in entsetzliche Schwierigkeiten gekommen wäre, falls man etwas anderes geäußert hätte.
Is our time any different? To anyone who has read any amount of history, the answer is almost certainly no. | Ist unsere Zeit wirklich anders ? Für jemanden, der auch nur etwas Geschichte gelesen hat, ist die Antwort ein sicheres Nein.
It would be a remarkable coincidence if ours were the first era to get everything just right. | Es müsste schon ein bemerkenswerter Zufall sein, wenn wir in einer diesbezüglich makellosen Epoche leben würden.
It's tantalizing to think we believe things that people in the future will find ridiculous. | Es ist eine bedrückende und zugleich verlockende Vorstellung, dass wir Dinge glauben, die Besucher aus der Zukunft lächerlich finden werden.
What would someone coming back to visit us in a time machine have to be careful not to say? That's what I want to study here. | Auf welche Dinge müsste jemand, der uns in einer Zeitmaschine besucht, achtgeben ? Das ist das, was ich hier untersuchen möchte.
But I want to do more than just shock everyone with the heresy du jour. I want to find general recipes for discovering what you can't say, in any era. | Aber ich möchte mehr als Leute mit einem Tabubruch der heutigen Zeit schockieren. Ich möchte allgemeine Methoden finden, mit denen man unabhängig von jedweder Ära das aufspüren kann, was man nicht aussprechen kann.
Let's start with a test: Do you have any opinions that you would be reluctant to express in front of a group of your peers? | Beginnen wir mit einem Test: Haben Sie irgendwelche Meinungen, die Sie ausgesprochen ungern vor Leuten in Ihrer Gruppe äußern würden ?
If the answer is no, you might want to stop and think about that. | Wenn die Antwort nein lautet, wäre es vielleicht angebracht, innezuhalten und darüber nachzudenken.
If everything you believe is something you're supposed to believe, could that possibly be a coincidence? Odds are it isn'tOdds are you just think what you're told. | Die Wahrscheinlichkeit spricht dagegen. Es ist viel wahrscheinlicher, dass Sie gerade das denken, was man Ihnen erzählt hat.
The other alternative would be that you independently considered every question and came up with the exact same answers that are now considered acceptable. | Die andere Alternative besteht darin, dass Sie unabhängig von anderen jede Frage selbst sorgfältig geprüft haben und exakt zu denselben Antworten gekommen sind, die man heute als annehmbar ansieht.
Odds are you would have. | Die Chancen stehen gut, dass Sie das Gleiche glauben würden.
One way to find these ideas is simply to look at things people do say, and get in trouble for. | Ein Weg, diese Ideen zu finden, ist es, nach Dingen Ausschau zu halten, die Leute laut sagen und damit in Schwierigkeiten geraten.
When a politician says his opponent is mistaken, that's a straightforward criticism, but when he attacks a statement as "divisive" or "racially insensitive" instead of arguing that it's false, we should start paying attention. | Wenn ein Politiker sagt, sein Gegner sei falsch informiert, dann ist das eine eindeutige Kritik, aber wenn er eine Aussage als "spaltend" oder "rassistisch unempfindlich" bezeichnet, anstatt zu argumentieren, dass sie falsch ist, sollten wir aufhorchen.
So another way to figure out which of our taboos future generations will laugh at is to start with the labels. | Ein anderer Weg, um herauszufinden, welche unserer Tabus künftige Generationen lächerlich finden werden, ist es, bei den Etiketten zu beginnen.
Take a label — "sexist", for example — and try to think of some ideas that would be called that. | Nehmen Sie zum Beispiel ein Etikett - "sexistisch" - und versuchen Sie, sich einige Ideen vorzustellen, die so bezeichnet werden würden.
Then for each ask, might this be true? | Dann fragen Sie für jede Idee, ob das stimmen könnte?
Just start listing ideas at random? Yes, because they won't really be random. | Fangen Sie einfach an, Ideen zufällig aufzulisten? Ja, weil sie nicht wirklich zufällig sein werden.
The ideas that come to mind first will be the most plausible ones. | Die Ideen, die Ihnen zuerst in den Sinn kommen, werden die glaubwürdigsten sein.
They'll be things you've already noticed but didn't let yourself think. | Es werden Dinge sein, die Sie bereits bemerkt haben, aber nicht denken durften.
In 1989 some clever researchers tracked the eye movements of radiologists as they scanned chest images for signs of lung cancer. | 1989 verfolgten einige clevere Forscher die Augenbewegungen von Radiologen, während diese Brustbilder auf Anzeichen von Lungenkrebs untersuchten.
They found that even when the radiologists missed a cancerous lesion, their eyes had usually paused at the site of it. | Sie fanden heraus, dass selbst dann, wenn die Radiologen eine bösartige Läsion übersahen, ihre Augen meist an der Stelle verharrten, an der sie sich befand.
Part of their brain knew there was something there; it just didn't percolate all the way up into conscious knowledge. | Ein Teil ihres Gehirns wusste, dass dort etwas war; es kam nur nicht bis in das bewusste Wissen vor.
